,Mean,Variance,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11
0,-2.436763268,0.762452613,-2.103177101,-2.769136395,-2.138943248,-3.347936073,-1.847350579,-3.789633801,-3.646107745,-1.87369682,-2.240381487,-3.004369547,-1.420301788,-1.060124627
1,0.23747687,0.258212155,-0.199399358,-0.13372193,0.068898954,0.871479833,0.558739413,0.184605367,0.400840194,-0.691588064,1.047926508,0.689042548,-0.233979491,0.286878466
2,-0.393805977,1.485507805,0.276138744,-1.928583341,-1.089935192,-0.874478629,-1.104473594,1.219640522,2.185642454,-1.011840224,-0.324078645,-1.001394847,0.527388027,-1.599696997
3,1.418242557,1.601048277,1.671805377,2.303514401,1.608517298,-1.66798548,2.335357809,1.034419404,0.714736599,1.021315841,3.179472497,0.353694739,2.263128925,2.200933269
4,0.111173062,0.828384708,-0.974982335,-0.442135957,0.328997031,0.390832963,0.585141467,-0.613627227,-0.391136499,0.376207384,2.518861716,-0.296153758,-0.519340021,0.371411976
5,-2.084032338,1.522739168,0.029332887,-3.875287945,-2.087762563,-2.908799392,-2.243874603,-2.394004794,-3.314524558,-2.392885091,-0.452199477,-2.471163507,-2.68221399,-0.215005024
6,0.75110679,1.13530018,0.52173375,2.583256429,-0.604356113,-1.008620872,0.767040477,0.19943004,2.224680994,0.998673718,-0.113632648,0.748582146,1.619126941,1.077366615
7,-1.236265978,0.338258382,-0.387998282,-1.004409429,-0.205390209,-1.282982871,-1.771722891,-1.654104412,-1.077251943,-2.002861523,-1.509349881,-0.896538444,-1.043842488,-1.998739366
8,-0.773800619,0.805259682,-0.339666169,-1.140894478,-2.694600513,-0.414393821,-1.30907537,-0.118564068,-0.270546426,0.503627265,0.081814972,-0.470651822,-1.374171133,-1.738485869
9,-0.352966503,0.659955029,0.13650444,-0.825631708,-0.951072526,1.624756798,-0.112697454,-0.381606463,-1.370210303,-1.086661009,0.126332081,-1.08992791,-0.298790933,-0.006593046
10,1.210728808,1.127514477,1.896589361,0.656987614,1.753320838,2.371733866,0.489692188,2.938337525,-0.036060403,1.504923072,2.218501009,-0.171563223,1.071007311,-0.164723456
