Id,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,54211,8996351,5643182,1608800,13411,92490932,92634,20619075,1874120,20013,55339,10276477,7047539,3895396,2786106,9153489,2431622,4829288,48199747,7867374,162427,109528,3225668,8198000,92064,44400,3693449,72207554,230939,81745,223288,524552,1503508,17909009,91401583,5327827,109420,7716625,667070000,3558988,5176268,15248251,1037220,16480383,191121,202310,1333040,4198307,7141135,124826,7865,572930,9602006,72814900,83636,60011,4579603,3294042,11124888,893956327,979287407,1039944591,279087938,667246384,4545550,26996533,265396502,30455000,1211537,22151278,409498463,121765037,4429634,393386,46814237,34661,44537,499184,52400000,3645600,6652287,23394,3577409,367928,616409,255323,8331725,89869,32500,4210747,66742,571819,754609927,3075605,2038637,162495580,4140000,3866159,9983967,1917374485,2299864225,382489740,123195063,87792515,259294677,48442,449480608,2828600,21906903,7289761,175574,2114020,50199700,1628252,932257,92500572,9714260,8105440,2172300,5722370,41233,51195,25012374,206288466,2120896,1804926,1120313,1448417,89897,220434662,240742196,154670163,16495,9874481,953436474,2277550468,851591,1097220852,2778550,313970,2120979,167796,4279,12328532,22452,2544000,5099373,89887,105488678,38174112,14662,2122880305,1488667,5263733,326550,20986123,97837766,480579,955505,10035,7388695,858168,659351,3618595,8157106,198624409,602544,79000,3388764,45137812,1774699,11486631,3581239,10063011,4433,2371800,788709114,551740,9196324,44908293,1132921,10061515,26273025,9642,2010677,29637450,188636191,2358000,11424176,8857716,1902875,865809,754705296,78076,47384,18406905,119897000,2933428,571835666,4086539,7544491,3206749,1646400,117866,2297110,2762899,15397,2755947,228544305,2955152,228586005,14260440,64253,289966,4068095,1584720,7484656,349174,41700,4573512,5726,3001593,882521780,308725388,1580513,27397175,2087038,1603258,210357620,499950,97837766,61601,571835666,228586005,848479,4176266,27472331,6104,10074507,6788214,42662149,1169443831,2538651,180671000,8549493,80949,8146847,8033,32500,32670629,63699,3032160395,108646,947000,5172135,17456855,3044846,3747369
1961,55438,9166764,5753024,1659800,14375,95044497,101078,20953077,1941491,20486,56144,10483000,7086299,4030320,2839666,9183948,2465867,4894580,49592802,7943118,167894,115108,3288602,8271216,94703,45500,3764813,74351763,231678,85596,228918,537249,1529227,18271000,92237118,5434294,110399,7890156,660330000,3694205,5285231,15637733,1064111,16982315,194139,205956,1381917,4277802,7289826,126125,8026,576395,9586651,73377632,88498,61032,4611687,3406299,11404859,893537035,1002523576,1043546746,283416986,674972972,4676859,27744712,267825309,30739250,1225077,22671190,413007006,124558907,4461005,407156,47444751,35115,45955,504167,52800000,3703600,6866539,23786,3633652,376737,623415,258947,8398050,91260,33700,4336143,68072,589274,765955145,3168100,2096407,166348536,4171672,3943364,10029321,1938089344,2329888868,391799524,126145959,90138235,265653565,48281,458494963,2824400,22480418,7475352,179029,2185000,50536350,1650806,973083,94943000,10129861,8361441,2255900,5873015,42257,51193,25765673,212141158,2170343,1864605,1144986,1498071,90914,226564469,246406470,158069258,16894,10111646,975335639,2307413443,866462,1099620212,2823550,316845,2152681,170465,4453,12710547,22808,2605000,5223568,92350,108374227,39394126,15051,2149344185,1507654,5322266,325250,21438025,100458479,491140,982178,10302,7541325,883221,680757,3700023,8418460,202007500,617277,81200,3486295,46062905,1830400,11638712,3609800,10221759,4675,2419700,801024442,564890,9366201,45984892,1167035,10350242,27164617,9900,2051947,29964000,192957526,2399722,11665595,8929316,1953328,894213,765517069,80703,51421,18555250,121236000,2996096,583894094,4218879,7769482,3295293,1702400,121396,2329204,2843240,15789,2814096,233965691,3011110,234008580,14538216,64551,298188,4191667,1594131,7519998,357453,42889,4721896,5763,3060355,881860854,313380986,1597526,28224204,2159123,1658362,216285875,508845,100458479,63745,583894094,234008580,865360,4235937,28146893,6246,10373398,7006633,43203635,1174008546,2571690,183691000,8837349,82142,8461685,8155,34300,33666772,65713,3073368588,112119,966000,5260501,17920673,3140264,3870756
1962,56225,9345868,5866061,1711319,15370,97682294,112472,21287682,2009526,21117,57144,10742000,7129864,4171425,2893669,9220578,2502896,4960326,51030137,8012946,173144,121083,3353226,8351928,97384,46600,3838097,76573248,232586,89516,234706,550840,1556661,18614000,93014890,5573815,111457,8067136,665770000,3841071,5399922,16041263,1092292,17500171,197198,210867,1432585,4357746,7450402,128414,8146,577691,9624660,74025784,94204,61982,4647727,3521278,11690153,905445959,1026586722,1058028198,287761794,682938669,4812890,28506176,270324828,31023366,1241623,23221389,416670637,127465500,4491443,421577,48119649,35570,47388,509806,53250000,3760300,7085464,24284,3690664,383523,629969,262590,8448233,92425,35000,4464249,69604,606285,775950078,3305200,2155652,170348129,4202104,4022593,10061734,1971767955,2373238348,401470393,129235885,92558005,272234508,48418,467852537,2836050,23071429,7674223,182378,2293000,50879450,1676250,1009733,95832000,10532062,8628972,2333400,6028551,43302,50966,26513030,218187764,2221122,1925276,1170480,1550813,92084,232897323,252264341,161549718,17290,10352188,997980664,2350559730,882170,1114283229,2863350,320750,2181586,176188,4566,13094818,23039,2664000,5352503,94938,111385940,40649588,15547,2189010012,1527111,5381368,323900,21898020,103147177,502558,1011324,10499,7699139,909174,700349,3784439,8692815,205198600,632654,83400,3588156,47029140,1886562,11805689,3638918,10384204,4947,2482000,811972766,578824,9539303,47119361,1202373,10650667,28081231,10151,2094687,30308500,197466057,2450322,11871712,8993985,2005337,924220,774970556,83651,56263,18676550,122591000,3050604,596413939,4362864,8004121,3386863,1750200,125064,2363013,2927857,16199,2874190,239603097,3069913,239647139,14821269,64432,306328,4238188,1603649,7561588,365636,44042,4875422,5763,3121216,893563281,318070294,1612755,29081034,2236559,1715408,222396518,518107,103147177,66259,596413939,239647139,880023,4303131,28832805,6389,10683906,7240174,43749470,1191029348,2603887,186538000,9138097,83206,8790589,8298,35000,34684165,67808,3126509808,115788,994000,5351799,18401608,3240587,3999419
1963,56695,9533954,5980417,1762621,16412,100411076,125566,21621840,2077575,21882,58294,10950000,7175811,4315128,2949926,9289770,2542859,5027821,52532417,8078145,178140,127333,3417574,8437232,100164,47700,3913395,78854019,233587,93576,240778,565353,1585763,18964000,93845749,5694247,112595,8247415,682335000,3996941,5520332,16461930,1121735,18033550,200372,216908,1484510,4436804,7618354,130860,8227,577913,9670685,74714353,100628,62918,4684483,3638628,11985136,928641161,1051414973,1083802302,292120322,690962675,4953733,29281250,272876447,31296651,1258857,23798429,420393293,130492518,4523309,436208,48803680,36014,48876,516265,53650000,3816100,7303432,24848,3749505,389072,636586,266598,8479625,93350,36400,4595510,71286,622575,785863206,3420900,2216707,174502178,4231408,4103730,10087947,2017341252,2428869007,411527755,132460233,95055665,279067522,48800,477527970,2852650,23680432,7888914,185653,2379000,51252000,1703395,1049302,96812000,10913552,8908422,2413700,6183747,44363,50525,27261747,224397456,2273349,1984980,1196890,1607171,93399,239401268,258352723,165151369,17718,10597520,1021341761,2405923225,898647,1140272235,2898950,324100,2210919,184250,4656,13478232,23168,2721000,5486319,97584,114471415,41939880,16114,2240771856,1547450,5441613,322550,22371902,105914391,513409,1042383,10667,7862072,936016,718861,3872118,8974084,208253700,648661,85700,3693866,48032246,1943590,11965966,3666537,10552267,5231,2531800,822892098,593501,9715748,48309315,1238823,10961540,29016771,10378,2139303,30712000,202169074,2504530,12065468,9030355,2058915,955104,784274508,86837,61717,18797850,123960000,3102972,609391805,4516659,8248812,3481745,1795000,128866,2398414,3015887,16621,2936443,245458090,3131557,245503266,15107656,64177,314528,4282017,1616971,7604328,373897,45176,5034646,5740,3183551,916564189,322832322,1631764,29967041,2318234,1773853,228663034,527749,105914391,69005,609391805,245503266,892569,4377637,29531342,6538,11005905,7487429,44285899,1219430095,2635129,189242000,9454250,84167,9130349,8452,39800,35722091,69964,3191786431,119561,1022000,5446063,18899275,3345145,4132756
1964,57032,9731361,6093321,1814135,17469,103239902,138529,21953929,2144998,22698,59524,11167000,7223801,4456689,3010859,9378113,2585965,5098890,54129100,8144340,182887,133698,3478995,8524224,103069,48900,3990857,81168654,234547,97848,247325,580799,1616516,19325000,94722599,5789228,113773,8430838,698355000,4157965,5646316,16903923,1152412,18581974,203753,223846,1537041,4513246,7787146,133148,8298,578627,9727804,75318337,107583,63926,4722072,3757956,12295970,951477683,1077037307,1109204182,296463073,698905664,5099468,30071102,275382197,31609195,1277086,24397024,424075858,133661787,4548543,450450,49449403,36454,50487,523789,54000000,3870300,7513289,25454,3811659,394553,643961,271457,8510429,94066,37600,4730540,73051,637845,795664702,3504600,2280045,178820615,4259680,4186640,10119835,2063005443,2485008106,422002663,135810058,97638029,286192605,49391,487484535,2866550,24308085,8122199,188983,2475000,51675350,1730486,1101459,97826000,11267329,9200157,2495300,6331583,45425,49930,27984155,230726737,2327137,2041207,1224344,1667825,94814,246016368,264721836,168931464,18170,10849979,1045376895,2461795047,915822,1165840067,2935200,327750,2240623,193563,4748,13857142,23236,2774000,5625164,100214,117671617,43264272,16710,2292863583,1569141,5503752,321250,22867741,108774858,521753,1074514,10857,8030025,963747,736381,3963417,9253963,211262900,665282,88100,3802640,49066059,2002119,12127120,3694339,10728197,5500,2585400,833781082,608887,9898587,49551904,1276276,11281015,29962876,10593,2186340,31139450,207073952,2554066,12282419,9035365,2114095,985873,793405703,90132,67567,18919126,125345000,3161724,622822615,4677404,8503994,3580312,1841600,132782,2435204,3106186,17032,3001126,251530081,3196113,251576403,15397706,64212,322997,4327341,1632114,7661354,382469,46322,5200336,5710,3246505,939183159,327602523,1662073,30881332,2402455,1833063,235048548,537786,108774858,71757,622822615,251576403,903275,4458611,30244232,6684,11339097,7746198,44794327,1247486688,2665390,191889000,9788986,85069,9476252,8627,40800,36780985,72131,3257459749,123354,1050000,5543339,19412975,3452942,4269863
1965,57360,9938414,6203299,1864791,18549,106174988,150362,22283390,2211316,23520,60781,11388000,7270889,4592610,3077876,9463667,2632356,5174870,55834038,8204168,187431,140054,3535640,8610000,106119,50100,4070590,83498020,235374,102425,254464,597190,1648833,19678000,95447065,5856472,114995,8617077,715185000,4321791,5777834,17369883,1184316,19144223,207424,231428,1589621,4585777,7951933,135266,8369,580966,9779358,75963695,114963,65038,4759012,3878948,12626952,975325708,1103433059,1135650893,300740822,706609007,5250119,30875964,277856703,31954292,1294566,25013626,427592605,136988867,4563732,463883,50023774,36900,52242,532511,54348050,3921600,7710549,26041,3877806,400861,652562,277396,8550333,94581,39200,4869716,74830,651868,805074670,3597900,2346010,183311108,4287000,4271133,10147935,2109873875,2542784927,432911052,139283107,100308894,293627945,50141,497702365,2877300,24955115,8375793,192286,2563000,52112350,1756266,1172550,98883000,11588870,9504703,2573300,6467197,46453,49214,28704674,237143034,2382594,2092348,1252972,1733306,96302,252710310,271400502,172929952,18649,11110828,1070053365,2519470647,933655,1192149720,2971450,331500,2265919,203231,4841,14229044,23282,2825000,5769218,102766,120973578,44623043,17284,2346540695,1592432,5568484,318800,23391145,111738154,526327,1107124,11105,8203076,992367,753000,4058673,9526563,214031100,682551,90500,3913934,50127214,2062630,12294732,3723168,10913724,5738,2628400,844331730,625009,10086706,50845221,1314626,11607681,30913933,10782,2236206,31444950,212187233,2594000,12547525,8998595,2170859,1015763,802234753,93438,73633,19031576,126745000,3232934,636701820,4843635,8770097,3682876,1886900,136847,2473294,3197863,17441,3068437,257821109,3263638,257868609,15688246,64796,331793,4370983,1649160,7733853,391546,47500,5373137,5672,3309573,962765445,332185772,1708630,31822796,2487953,1892599,241525127,548218,111738154,74362,636701820,257868609,912417,4545339,30972965,6815,11683528,8014401,45261935,1276487330,2694537,194303000,10143740,85970,9824692,8814,43500,37860012,74289,3324545317,127068,1078000,5643643,19942303,3563407,4410212
1966,57715,10152331,6309770,1914573,19647,109230593,160481,22608748,2276031,24321,62059,11651000,7322066,4721525,3152723,9527807,2682159,5256363,57672990,8258057,191780,146366,3586634,8696496,109347,51000,4152668,85837799,236044,107316,262244,614613,1682885,20048000,96148635,5918002,116227,8806137,735400000,4487204,5915123,17861881,1217391,19721462,211478,239770,1642186,4653919,8110430,136682,8441,585308,9821040,76600311,122866,66311,4797381,4001375,12980267,1002752094,1130587356,1165517897,304356201,713341112,5405685,31697616,280147494,32283194,1308597,25641376,430868372,140486338,4580869,476324,50508717,37334,54199,542557,54648500,3966700,7890992,26612,3948869,408180,662463,284868,8613651,94875,40500,5013153,76607,664521,813852130,3629900,2414807,187976481,4313000,4357484,10178653,2159939615,2604231800,444292185,142884219,103067354,301407966,51049,508161935,2888800,25624656,8651164,195570,2629000,52519000,1780264,1265806,99790000,11872939,9822499,2655300,6584766,47459,48358,29435571,243633320,2439196,2136636,1282814,1803683,97881,259468669,278419926,177159065,19153,11380683,1095374266,2580931526,952206,1221225432,3008050,333895,2283217,213196,4936,14593284,23305,2873000,5918595,105190,124374455,46011038,17842,2403772461,1617794,5635859,315200,23944178,114816087,526419,1139961,11435,8381455,1021882,768813,4158124,9789982,216659000,700341,93500,4027758,51217359,2125240,12456251,3753012,11109884,5936,2675900,854364014,642003,10278079,52191095,1353804,11941325,31867563,10946,2289109,31681000,217522775,2624995,12864954,8930990,2229376,1044550,810477286,96732,79844,19215450,127468000,3319082,651036352,5015204,9047798,3789211,1934400,141026,2512652,3290411,17835,3143836,264337472,3334191,264386171,15976548,66063,341133,4411666,1669905,7807797,401183,48699,5553246,5629,3372170,989873765,336037201,1774029,32789096,2574478,1952141,248082224,558676,114816087,76779,651036352,264386171,919903,4638275,31717477,6938,12038903,8292776,45682308,1308398195,2722877,196560000,10520879,86857,10175140,9007,46200,38959334,76413,3394783656,130688,1106000,5748588,20486439,3676189,4553433
1967,58055,10372630,6414995,1965598,20758,112406932,170283,22932203,2339124,25116,63360,11799000,7376998,4843870,3234023,9580991,2735307,5343019,59620669,8310226,196063,152609,3632669,8785648,112692,52000,4237125,88191378,236621,112494,270622,633154,1718603,20412000,97043587,5991785,117474,8997325,754550000,4656353,6058539,18378214,1251703,20311371,215897,248747,1694710,4718167,8263546,138140,8521,591308,9852899,76951336,131397,67686,4835354,4125109,13354197,1029286492,1158571169,1194424325,308039772,719879789,5566057,32534021,282114545,32682947,1318946,26281208,434001556,144152478,4605744,487913,50915456,37768,56319,553823,54943600,4005800,8057444,27174,4023486,416339,673462,293440,8684088,94961,41900,5160609,78404,675871,822239552,3722800,2486414,192817243,4339000,4445530,10216604,2209648248,2665770489,456122241,146618832,105907403,309503409,52118,518889779,2902450,26318119,8947404,198751,2745000,52900500,1803064,1377465,100725000,12120504,10154484,2736500,6685321,48437,47380,30130983,250203252,2496920,2174845,1313941,1878877,99527,266295880,285751541,181601570,19691,11657660,1121340587,2642449632,971512,1249470063,3044400,334995,2301220,223420,5033,14950803,23292,2918000,6073526,107538,127947266,47429812,18388,2460848062,1644943,5706199,311550,24524548,118004103,522796,1173191,11823,8565674,1052286,783917,4262005,10046172,219176000,718685,96500,4144395,52341834,2189882,12598201,3784539,11316826,6102,2724100,863999086,660119,10473132,53590929,1393799,12282082,32826599,11080,2344977,31987155,223086567,2645674,13222694,8874520,2289582,1072397,818162391,100029,86295,19534242,128196000,3418317,665826653,5194846,9337657,3899237,1977600,145351,2553529,3383701,18229,3228495,271089360,3407800,271139271,16263696,67873,350751,4449367,1689528,7867931,411352,49911,5740710,5590,3434811,1016049762,340026927,1855442,33778504,2662230,2011763,254723773,569031,118004103,79052,665826653,271139271,925909,4737627,32477961,7040,12406040,8580676,46060452,1339507475,2750093,198712000,10917446,87736,10528054,9218,49100,40074699,78522,3464689184,134193,1135000,5858638,21045785,3791887,4700041
1968,58386,10604346,6523791,2022272,21890,115680165,183194,23261278,2401140,25885,64655,12009000,7415403,4960235,3316233,9618756,2791590,5434041,61579473,8369603,200653,158627,3675452,8874552,116061,53000,4324064,90557064,237199,117950,279515,652843,1755344,20744000,97882394,6067714,118726,9188822,774510000,4834279,6208282,18913203,1287516,20905059,220575,257509,1746869,4779624,8413327,140298,8631,598493,9876346,77294314,140462,69040,4864883,4250025,13744387,1056791466,1187273756,1223721287,311636189,726161895,5730906,33377259,283966953,33113134,1331214,26946079,436916059,147967143,4626469,498892,51276054,38200,58403,565873,55211700,4042300,8221020,27694,4097191,425510,685476,301353,8740765,94868,43400,5311615,80217,686146,829646759,3802700,2560727,197836081,4364000,4534234,10255815,2260717669,2729022482,468304813,150482659,108821564,317822154,53254,529967317,2915550,27032943,9260682,201488,2803000,53235750,1825633,1498309,101061000,12341412,10502245,2818300,6778723,49388,46402,30838302,256861866,2556852,2210959,1346491,1958914,101179,273209036,293292818,186231925,20236,11937611,1147940213,2705708561,991491,1278513440,3078850,335850,2323619,233004,5161,15302947,23304,2960000,6234465,109959,131566224,48894019,18961,2519476636,1672399,5780835,307900,25128116,121276296,517481,1207104,12257,8756481,1083583,798413,4370650,10297801,221503000,737886,99500,4263745,53505978,2256782,12729721,3816486,11534264,6241,2748100,872731745,679597,10676961,55042397,1434657,12629329,33797042,11205,2403595,32294655,228868113,2662064,13609982,8836650,2350901,1099420,824881275,103386,93201,19799831,128928000,3527263,681054882,5387486,9639840,4013539,2012000,149921,2596568,3477742,18589,3313786,278087862,3484537,278138996,16556005,70046,359733,4483915,1704546,7912273,422140,51134,5935860,5559,3499352,1043166804,343930844,1945780,34790945,2750894,2071789,261454660,579807,121276296,81097,681054882,278138996,931468,4842167,33256432,7133,12787489,8872920,46409002,1371536423,2774774,200706000,11323095,88613,10881995,9424,55700,41195835,80673,3535355320,137506,1163000,5971407,21622590,3912085,4851431
1969,58726,10854428,6642632,2081695,23058,119016542,203820,23605987,2462925,26614,65910,12263000,7441055,5071930,3391753,9646032,2850661,5528174,63417394,8434172,206043,164248,3717466,8960304,119261,54000,4413590,92935072,237913,123653,288774,673640,1792220,21028000,98602140,6136387,119972,9378243,796025000,5027971,6364569,19458904,1325147,21490945,225325,264909,1798311,4839881,8563193,142581,8827,606113,9896580,77909682,149887,70213,4891860,4376054,14144438,1085996625,1216765988,1256501005,315162240,732317863,5899845,34216826,285855058,33441054,1345249,27654161,439730656,151904121,4623785,509658,51638260,38646,60170,578108,55441750,4080300,8397347,28159,4164003,435798,698338,306233,8772764,94682,44900,5465512,82040,695745,838754708,3863900,2637517,203035027,4387000,4622208,10298723,2313952136,2794658513,480706377,154472531,111800091,326233846,54376,541505076,2932650,27765243,9585576,203369,2877000,53537950,1849414,1615277,103172000,12550121,10867716,2894800,6879184,50294,45534,31544266,263625974,2620434,2250602,1380637,2043818,102749,280225795,300902584,191011431,20765,12214968,1175158989,2771424082,1012015,1309029590,3107321,337500,2343173,240842,5303,15651924,23346,3002000,6401921,112651,135279930,50423481,19622,2580412651,1698143,5861412,304300,25748643,124596411,513340,1242214,12691,8954809,1115788,812405,4484439,10549226,223759000,758377,104000,4385758,54716735,2326139,12877984,3847707,11761473,6368,2772800,883261223,700725,10888229,56542434,1476479,12982449,34787588,11331,2464548,32548300,234850584,2684150,14010339,8757705,2412566,1125867,833307280,106857,100874,20009141,129664000,3640591,696697198,5599628,9954410,4132844,2042500,154875,2642608,3572707,18895,3387632,285345634,3564465,285397999,16853977,72241,366848,4518607,1713874,7968072,433588,52365,6139048,5571,3568376,1071971003,347710540,2034907,35826804,2840228,2132799,268285362,591739,124596411,82877,696697198,285397999,937848,4950153,34055361,7214,13186557,9162833,46746669,1405253662,2795046,202677000,11723846,89516,11235491,9621,60300,42309665,82940,3610178790,140518,1191000,6083619,22219897,4038923,5009514
