zipcode,N1,N05780,N85775
0,815440,18830,56460
0,495830,17200,27540
0,263390,4180,5780
0,167190,520,840
0,217440,140,160
0,57240,0,0
35004,1510,50,120
35004,1410,50,80
35004,950,20,30
35004,650,0,0
35004,630,0,0
35004,60,0,0
35005,1310,40,80
35005,960,30,50
35005,450,0,0
35005,200,0,0
35005,180,0,0
35005,0,0,0
35006,430,0,50
35006,330,0,0
35006,190,0,0
35006,120,0,0
35006,130,0,0
35006,0,0,0
35007,4070,90,280
35007,2650,110,170
35007,1820,30,40
35007,1340,30,30
35007,1820,0,0
35007,240,0,0
35010,3620,90,220
35010,2070,70,120
35010,890,30,40
35010,530,0,0
35010,620,0,0
35010,180,0,0
35014,660,20,60
35014,460,0,0
35014,210,0,0
35014,140,0,0
35014,120,0,0
35014,30,0,0
35016,2810,100,230
35016,1730,80,140
35016,1060,30,40
35016,680,0,0
35016,720,0,0
35016,130,0,0
35019,360,30,30
35019,250,0,20
35019,140,0,0
35019,60,0,0
35019,80,0,0
35019,0,0,0
35020,5450,80,250
35020,2470,50,80
35020,720,0,0
35020,230,0,0
35020,160,0,0
35020,20,0,0
35022,3240,80,210
35022,2430,80,120
35022,1610,40,50
35022,1020,0,0
35022,1300,0,0
35022,200,0,0
35023,3690,90,230
35023,2910,90,120
35023,1550,0,30
35023,930,20,20
35023,900,0,0
35023,70,0,0
35031,1190,40,100
35031,810,40,40
35031,430,0,20
35031,230,0,0
35031,180,0,0
35031,20,0,0
35033,460,0,40
35033,380,40,40
35033,210,0,0
35033,150,0,0
35033,140,0,0
35033,40,0,0
35034,700,0,40
35034,370,0,0
35034,160,0,0
35034,80,0,0
35034,80,0,0
35034,0,0,0
35035,230,0,30
35035,150,0,0
35035,80,0,0
35035,50,0,0
35035,60,0,0
35035,0,0,0
35040,2360,60,180
35040,2190,70,120
35040,1410,40,50
35040,790,0,0
35040,760,0,0
35040,80,0,0
35042,890,0,40
35042,570,30,40
35042,320,0,0
35042,190,0,0
35042,210,0,0
35042,20,0,0
35043,1310,30,100
35043,820,40,60
35043,690,30,40
35043,710,0,0
35043,1270,0,0
35043,270,0,0
35044,1390,30,90
35044,810,40,50
35044,390,0,0
35044,220,0,0
35044,220,0,0
35044,30,0,0
35045,2340,50,160
35045,1420,70,100
35045,750,30,30
35045,460,0,0
35045,460,0,0
35045,70,0,0
35046,870,0,70
35046,590,50,50
35046,330,0,0
35046,230,0,0
35046,290,0,0
35046,40,0,0
35049,520,0,60
35049,440,40,30
35049,250,0,0
35049,180,0,0
35049,160,0,0
35049,0,0,0
35051,1270,30,90
35051,740,30,60
35051,410,0,0
35051,320,0,0
35051,430,0,0
35051,120,0,0
35053,340,30,50
35053,250,0,30
35053,170,0,0
35053,110,0,0
35053,140,0,0
35053,40,0,0
35054,620,0,50
35054,380,40,30
35054,260,0,0
35054,210,0,0
35054,280,0,0
35054,70,0,0
35055,3150,90,230
35055,2060,60,110
35055,1100,30,40
35055,720,0,0
35055,740,0,0
35055,180,0,0
35057,2010,50,140
35057,1360,50,80
35057,740,20,30
35057,500,0,0
35057,560,0,0
35057,120,0,0
35058,1710,60,140
35058,1080,60,60
35058,580,0,20
35058,380,0,0
35058,380,0,0
35058,90,0,0
35060,90,0,0
35060,50,0,0
35060,20,0,0
35060,0,0,0
35060,0,0,0
35060,0,0,0
35061,310,0,20
35061,180,0,0
35061,90,0,0
35061,30,0,0
35061,30,0,0
35061,0,0,0
35062,1160,30,70
35062,750,40,60
35062,520,0,0
35062,360,0,0
35062,390,0,0
35062,40,0,0
35063,480,20,30
35063,350,0,20
35063,170,0,0
35063,100,0,0
35063,100,0,0
35063,0,0,0
35064,2220,50,120
35064,1230,30,50
35064,450,0,0
35064,210,0,0
35064,190,0,0
35064,0,0,0
35068,1230,30,80
35068,1160,40,60
35068,700,0,0
35068,330,0,0
35068,310,0,0
35068,30,0,0
35071,2240,60,170
35071,1820,60,90
35071,1210,30,30
35071,850,0,0
35071,1160,0,0
35071,200,0,0
35072,780,0,50
35072,570,40,40
35072,220,0,0
35072,150,0,0
35072,100,0,0
35072,0,0,0
35073,370,0,40
35073,310,0,0
35073,130,0,0
35073,70,0,0
35073,50,0,0
35073,0,0,0
35077,2210,70,160
35077,1480,60,90
35077,700,0,0
35077,440,0,0
35077,350,0,0
35077,30,0,0
35078,350,20,20
35078,230,0,20
35078,110,0,0
35078,80,0,0
35078,100,0,0
35078,0,0,0
35079,1110,30,100
35079,830,30,40
35079,650,20,20
35079,430,0,0
35079,360,0,0
35079,40,0,0
35080,2120,60,160
35080,1420,70,110
35080,1240,40,30
35080,1060,0,20
35080,1740,0,0
35080,260,0,0
35083,460,30,40
35083,340,0,30
35083,190,0,0
35083,110,0,0
35083,100,0,0
35083,0,0,0
35085,1340,20,80
35085,940,30,50
35085,510,20,30
35085,290,0,0
35085,290,0,0
35085,30,0,0
35087,390,20,50
35087,200,0,0
35087,120,0,0
35087,70,0,0
35087,60,0,0
35087,0,0,0
35089,360,0,30
35089,250,0,0
35089,90,0,0
35089,30,0,0
35089,20,0,0
35089,0,0,0
35091,310,0,30
35091,220,0,0
35091,230,0,0
35091,190,0,0
35091,290,0,0
35091,20,0,0
35094,2280,60,180
35094,1590,60,100
35094,990,20,30
35094,590,0,0
35094,700,0,0
35094,140,0,0
35096,1280,40,90
35096,910,40,60
35096,520,0,0
35096,340,0,0
35096,320,0,0
35096,50,0,0
35097,260,0,40
35097,200,0,0
35097,150,0,0
35097,90,0,0
35097,70,0,0
35097,0,0,0
35098,230,0,30
35098,140,0,0
35098,70,0,0
35098,60,0,0
35098,60,0,0
35098,0,0,0
35111,1970,50,130
35111,1500,40,70
35111,1240,30,50
35111,940,0,0
35111,1170,0,0
35111,150,0,0
35112,80,0,0
35112,70,0,0
35112,30,0,0
35112,0,0,0
35112,0,0,0
35112,0,0,0
35114,960,20,70
35114,590,40,30
35114,450,0,20
35114,370,0,0
35114,620,0,0
35114,80,0,0
35115,2320,60,150
35115,1280,60,80
35115,700,0,20
35115,390,0,0
35115,440,0,0
35115,70,0,0
35116,610,20,60
35116,480,20,40
35116,300,0,0
35116,240,0,0
35116,320,0,0
35116,50,0,0
35117,720,0,40
35117,640,40,40
35117,470,0,0
35117,340,0,0
35117,440,0,0
35117,70,0,0
35118,510,30,30
35118,370,0,30
35118,200,0,0
35118,140,0,0
35118,130,0,0
35118,0,0,0
35120,2070,40,130
35120,1530,40,70
35120,1060,30,40
35120,680,0,0
35120,700,0,0
35120,70,0,0
35121,2310,60,170
35121,1570,60,90
35121,850,30,40
35121,490,0,0
35121,530,0,0
35121,130,0,0
35124,3380,90,280
35124,2530,110,160
35124,1780,50,60
35124,1270,30,30
35124,2150,0,0
35124,620,0,0
35125,1840,50,130
35125,1220,40,70
35125,600,0,0
35125,380,0,0
35125,310,0,0
35125,40,0,0
35126,3150,80,210
35126,2480,80,130
35126,1560,30,50
35126,1070,0,0
35126,1140,0,0
35126,100,0,0
35127,1440,30,100
35127,1210,30,60
35127,760,0,0
35127,440,0,0
35127,450,0,0
35127,40,0,0
35128,1460,30,80
35128,1010,40,70
35128,610,0,0
35128,450,0,0
35128,610,0,0
35128,130,0,0
35130,460,20,50
35130,330,0,0
35130,200,0,0
35130,110,0,0
35130,100,0,0
35130,0,0,0
35131,580,30,60
35131,440,0,0
35131,230,0,0
35131,120,0,0
35131,110,0,0
35131,0,0,0
35133,550,0,40
35133,410,40,40
35133,280,0,0
35133,170,0,0
35133,150,0,0
35133,0,0,0
35135,260,0,40
35135,190,0,0
35135,150,0,0
35135,90,0,0
35135,120,0,0
35135,0,0,0
35136,240,0,40
35136,170,0,0
35136,110,0,0
35136,60,0,0
35136,70,0,0
35136,0,0,0
35143,480,30,50
35143,320,0,0
35143,160,0,0
35143,120,0,0
35143,130,0,0
35143,30,0,0
35146,1340,40,110
35146,1010,40,80
35146,730,30,40
35146,560,0,0
35146,750,0,0
35146,130,0,0
35147,630,20,70
35147,500,40,50
35147,380,0,0
35147,280,0,0
35147,400,0,0
35147,90,0,0
35148,460,0,50
35148,290,0,0
35148,140,0,0
35148,100,0,0
35148,70,0,0
35148,0,0,0
35149,110,0,0
35149,80,0,0
35149,50,0,0
35149,0,0,0
35149,0,0,0
35149,0,0,0
35150,3090,70,180
35150,1910,50,70
35150,890,20,20
35150,490,0,0
35150,490,0,0
35150,70,0,0
35151,1100,30,70
35151,750,30,40
35151,460,0,0
35151,310,0,0
35151,290,0,0
35151,30,0,0
35160,4420,100,250
35160,2780,60,90
35160,1210,20,30
35160,650,0,0
35160,520,0,0
35160,100,0,0
35171,460,20,60
35171,330,0,0
35171,220,0,0
35171,130,0,0
35171,190,0,0
35171,0,0,0
35172,430,20,30
35172,320,0,20
35172,190,0,0
35172,90,0,0
35172,90,0,0
35172,0,0,0
35173,3280,90,260
35173,2260,80,150
35173,1840,60,80
35173,1590,30,30
35173,2950,0,0
35173,790,0,0
35175,730,0,60
35175,510,50,50
35175,300,0,0
35175,210,0,0
35175,270,0,0
35175,40,0,0
35176,130,0,0
35176,100,0,0
