Zip,Population Total,Slab 1,Slab 2,Slab 3,Slab 4,Slab 5,Slab 6
1001,8980,0.312917595,0.248329621,0.177060134,0.10467706,0.139198218,0.017817372
1002,9490,0.348788198,0.183350896,0.115911486,0.083245522,0.183350896,0.085353003
1003,170,0.882352941,0.117647059,0,0,0,
1005,2370,0.303797468,0.23628692,0.168776371,0.11814346,0.156118143,0.016877637
1007,7580,0.286279683,0.19525066,0.14116095,0.114775726,0.218997361,0.04353562
1008,660,0.272727273,0.196969697,0.181818182,0.151515152,0.196969697,0
1009,650,0.338461538,0.307692308,0.153846154,0.092307692,0.107692308,0
1010,1880,0.29787234,0.191489362,0.154255319,0.122340426,0.196808511,0.037234043
1011,650,0.338461538,0.215384615,0.2,0.107692308,0.138461538,0
1012,350,0.285714286,0.257142857,0.171428571,0.114285714,0.171428571,0
1013,10550,0.407582938,0.299526066,0.1507109,0.076777251,0.05971564,0.005687204
1020,15170,0.353988134,0.284772577,0.161502966,0.099538563,0.092946605,0.007251154
1022,1150,0.32173913,0.339130435,0.2,0.07826087,0.060869565,0
1026,490,0.346938776,0.244897959,0.142857143,0.102040816,0.163265306,0
1027,9840,0.296747967,0.273373984,0.164634146,0.107723577,0.135162602,0.022357724
1028,8250,0.28,0.175757576,0.143030303,0.117575758,0.212121212,0.071515152
1029,320,0.3125,0.25,0.125,0.09375,0.21875,0
1030,6000,0.313333333,0.21,0.15,0.113333333,0.18,0.033333333
1031,500,0.34,0.3,0.18,0.1,0.08,0
1032,260,0.269230769,0.230769231,0.192307692,0.115384615,0.192307692,0
1033,3230,0.287925697,0.216718266,0.167182663,0.111455108,0.188854489,0.027863777
1034,1040,0.288461538,0.192307692,0.163461538,0.115384615,0.201923077,0.038461538
1035,2780,0.327338129,0.21942446,0.133093525,0.100719424,0.169064748,0.050359712
1036,2680,0.28358209,0.186567164,0.141791045,0.126865672,0.212686567,0.048507463
1037,390,0.256410256,0.230769231,0.153846154,0.102564103,0.256410256,0
1038,1300,0.261538462,0.230769231,0.169230769,0.1,0.192307692,0.046153846
1039,780,0.307692308,0.230769231,0.141025641,0.115384615,0.153846154,0.051282051
1040,16540,0.438331318,0.287182588,0.129383313,0.061064087,0.071342201,0.012696493
1050,1290,0.325581395,0.248062016,0.147286822,0.11627907,0.147286822,0.015503876
1053,880,0.306818182,0.215909091,0.159090909,0.113636364,0.159090909,0.045454545
1054,960,0.28125,0.197916667,0.135416667,0.09375,0.208333333,0.083333333
1056,10400,0.324038462,0.226923077,0.161538462,0.116346154,0.146153846,0.025
1057,4220,0.298578199,0.218009479,0.161137441,0.118483412,0.17535545,0.028436019
1060,7360,0.331521739,0.243206522,0.148097826,0.080163043,0.130434783,0.066576087
1062,5690,0.30228471,0.207381371,0.152899824,0.105448155,0.172231986,0.059753954
1066,200,0.25,0.25,0.2,0.15,0.15,0
1068,970,0.278350515,0.206185567,0.164948454,0.12371134,0.18556701,0.041237113
1069,4100,0.329268293,0.253658537,0.158536585,0.107317073,0.129268293,0.02195122
1070,310,0.387096774,0.258064516,0.161290323,0.064516129,0.129032258,0
1071,800,0.3,0.2375,0.175,0.1375,0.15,0
1072,760,0.289473684,0.210526316,0.157894737,0.118421053,0.184210526,0.039473684
1073,3280,0.280487805,0.179878049,0.140243902,0.12195122,0.225609756,0.051829268
1074,270,0.407407407,0.333333333,0.148148148,0.111111111,0,0
1075,8570,0.282380397,0.229871645,0.166861144,0.110851809,0.165694282,0.044340723
1077,4990,0.286573146,0.22244489,0.142284569,0.112224449,0.180360721,0.056112224
1079,420,0.333333333,0.30952381,0.166666667,0.095238095,0.095238095,0
1080,1180,0.347457627,0.313559322,0.186440678,0.084745763,0.06779661,0
1081,880,0.329545455,0.238636364,0.181818182,0.102272727,0.147727273,0
1082,5010,0.343313373,0.26746507,0.153692615,0.107784431,0.113772455,0.013972056
1083,1450,0.344827586,0.262068966,0.15862069,0.103448276,0.131034483,0
1085,18950,0.325065963,0.243799472,0.151978892,0.096042216,0.153034301,0.030079156
1086,320,0.3125,0.28125,0.1875,0.09375,0.125,0
1088,330,0.303030303,0.303030303,0.151515152,0.090909091,0.151515152,0
1089,13980,0.3490701,0.263948498,0.155221745,0.08869814,0.118025751,0.025035765
1092,570,0.368421053,0.280701754,0.157894737,0.087719298,0.105263158,0
1093,400,0.275,0.2,0.2,0.1,0.175,0.05
1094,150,0.333333333,0.2,0.266666667,0,0.2,0
1095,7290,0.274348422,0.153635117,0.133058985,0.106995885,0.237311385,0.094650206
1096,1280,0.2890625,0.2265625,0.15625,0.125,0.1640625,0.0390625
1098,620,0.290322581,0.225806452,0.209677419,0.096774194,0.14516129,0.032258065
1103,1070,0.46728972,0.299065421,0.140186916,0.046728972,0.046728972,0
1104,10230,0.463343109,0.320625611,0.127077224,0.049853372,0.039100684,0
1105,4030,0.665012407,0.260545906,0.052109181,0.009925558,0.012406948,0
1106,7590,0.242424242,0.121212121,0.110671937,0.093544137,0.247694335,0.184453228
1107,3970,0.561712846,0.289672544,0.080604534,0.0302267,0.0302267,0.007556675
1108,11520,0.495659722,0.295138889,0.110243056,0.046875,0.043402778,0.008680556
1109,11580,0.52417962,0.29447323,0.107944732,0.041450777,0.030224525,0.001727116
1118,7270,0.338376891,0.25997249,0.181568088,0.105914718,0.104539202,0.009628611
1119,5960,0.382550336,0.303691275,0.154362416,0.07885906,0.077181208,0.003355705
1128,1440,0.263888889,0.236111111,0.215277778,0.125,0.159722222,0
1129,3740,0.331550802,0.280748663,0.173796791,0.101604278,0.104278075,0.00802139
1151,3960,0.477272727,0.318181818,0.123737374,0.042929293,0.037878788,0
1201,22270,0.378985182,0.267175573,0.143691064,0.088010777,0.099685676,0.022451729
1220,4280,0.378504673,0.299065421,0.142523364,0.086448598,0.081775701,0.011682243
1222,440,0.409090909,0.25,0.136363636,0.090909091,0.113636364,0
1223,1150,0.313043478,0.243478261,0.156521739,0.12173913,0.139130435,0.026086957
1225,1690,0.319526627,0.24852071,0.153846154,0.100591716,0.153846154,0.023668639
1226,3300,0.327272727,0.248484848,0.139393939,0.1,0.142424242,0.042424242
1230,3760,0.356382979,0.231382979,0.127659574,0.087765957,0.135638298,0.061170213
1235,1470,0.333333333,0.224489796,0.163265306,0.102040816,0.149659864,0.027210884
1236,860,0.38372093,0.244186047,0.139534884,0.104651163,0.104651163,0.023255814
1237,1550,0.329032258,0.232258065,0.15483871,0.103225806,0.148387097,0.032258065
1238,3060,0.352941176,0.261437908,0.133986928,0.094771242,0.124183007,0.032679739
1240,2510,0.310756972,0.203187251,0.12749004,0.09561753,0.167330677,0.09561753
1242,300,0.366666667,0.266666667,0.133333333,0.1,0.133333333,0
1243,140,0.285714286,0.214285714,0.142857143,0.142857143,0.214285714,0
1244,170,0.294117647,0.235294118,0.235294118,0,0.235294118,0
1245,400,0.35,0.225,0.125,0.1,0.125,0.075
1247,6750,0.428148148,0.271111111,0.142222222,0.077037037,0.074074074,0.007407407
1253,460,0.304347826,0.217391304,0.152173913,0.152173913,0.173913043,0
1254,600,0.283333333,0.15,0.15,0.116666667,0.166666667,0.133333333
1255,330,0.393939394,0.242424242,0.151515152,0.090909091,0.121212121,0
1256,370,0.324324324,0.216216216,0.162162162,0.162162162,0.135135135,0
1257,1240,0.338709677,0.241935484,0.137096774,0.096774194,0.129032258,0.056451613
1258,380,0.342105263,0.210526316,0.105263158,0.105263158,0.131578947,0.105263158
1259,260,0.346153846,0.230769231,0.230769231,0,0.192307692,0
1260,150,0.333333333,0.266666667,0.133333333,0.266666667,0,0
1262,780,0.320512821,0.230769231,0.115384615,0.076923077,0.153846154,0.102564103
1264,100,0.3,0.2,0.2,0,0.3,0
1266,740,0.310810811,0.216216216,0.121621622,0.094594595,0.175675676,0.081081081
1267,2910,0.295532646,0.182130584,0.12371134,0.103092784,0.18556701,0.109965636
1270,390,0.256410256,0.205128205,0.179487179,0.153846154,0.205128205,0
1301,8310,0.367027677,0.274368231,0.154031288,0.093862816,0.095066185,0.015643803
1330,750,0.32,0.24,0.146666667,0.106666667,0.133333333,0.053333333
1331,6240,0.363782051,0.280448718,0.166666667,0.091346154,0.086538462,0.011217949
1337,1350,0.288888889,0.237037037,0.155555556,0.133333333,0.162962963,0.022222222
1338,140,0.285714286,0.357142857,0.214285714,0,0.142857143,0
1339,730,0.356164384,0.273972603,0.150684932,0.095890411,0.123287671,0
1340,870,0.333333333,0.264367816,0.172413793,0.114942529,0.114942529,0
1341,830,0.253012048,0.204819277,0.144578313,0.13253012,0.180722892,0.084337349
1342,700,0.271428571,0.214285714,0.157142857,0.142857143,0.171428571,0.042857143
1344,780,0.320512821,0.294871795,0.153846154,0.115384615,0.115384615,0
1346,180,0.388888889,0.166666667,0.277777778,0,0.166666667,0
1349,400,0.3,0.325,0.2,0.1,0.075,0
1351,1290,0.286821705,0.271317829,0.178294574,0.108527132,0.131782946,0.023255814
1354,810,0.271604938,0.259259259,0.172839506,0.12345679,0.172839506,0
1355,470,0.29787234,0.234042553,0.170212766,0.127659574,0.170212766,0
1360,1520,0.302631579,0.236842105,0.151315789,0.125,0.157894737,0.026315789
1364,3490,0.386819484,0.275071633,0.157593123,0.094555874,0.077363897,0.008595989
1366,620,0.306451613,0.209677419,0.161290323,0.096774194,0.177419355,0.048387097
1367,230,0.347826087,0.260869565,0.260869565,0,0.130434783,0
1368,570,0.298245614,0.245614035,0.140350877,0.140350877,0.175438596,0
1370,2040,0.352941176,0.259803922,0.137254902,0.098039216,0.12745098,0.024509804
1373,2360,0.296610169,0.233050847,0.152542373,0.11440678,0.156779661,0.046610169
1375,1840,0.347826087,0.266304348,0.125,0.086956522,0.141304348,0.032608696
1376,2530,0.395256917,0.304347826,0.150197628,0.079051383,0.071146245,0
1378,360,0.305555556,0.305555556,0.166666667,0.111111111,0.111111111,0
1379,400,0.375,0.325,0.15,0.075,0.075,0
1420,18530,0.39719374,0.275769023,0.146249325,0.082029142,0.089044792,0.009713977
1430,3070,0.280130293,0.201954397,0.149837134,0.123778502,0.214983713,0.029315961
1431,1600,0.29375,0.2,0.1625,0.1125,0.2,0.03125
1432,4150,0.274698795,0.231325301,0.171084337,0.101204819,0.180722892,0.040963855
1434,210,0.333333333,0.142857143,0.142857143,0.095238095,0.285714286,0
1436,1450,0.317241379,0.268965517,0.15862069,0.124137931,0.131034483,0
1438,260,0.346153846,0.269230769,0.153846154,0.115384615,0.115384615,0
1440,9430,0.360551432,0.285259809,0.152704136,0.090137858,0.100742312,0.010604454
1450,5220,0.252873563,0.134099617,0.105363985,0.078544061,0.247126437,0.181992337
1451,2490,0.240963855,0.096385542,0.080321285,0.072289157,0.253012048,0.257028112
1452,2200,0.259090909,0.213636364,0.154545455,0.127272727,0.209090909,0.036363636
1453,21390,0.343151005,0.250584385,0.158485273,0.087891538,0.135577373,0.024310425
1460,4820,0.257261411,0.143153527,0.109958506,0.093360996,0.246887967,0.149377593
1462,5670,0.273368607,0.17989418,0.142857143,0.12345679,0.216931217,0.063492063
1463,5800,0.284482759,0.193103448,0.136206897,0.105172414,0.217241379,0.063793103
1464,3100,0.287096774,0.206451613,0.148387097,0.116129032,0.2,0.041935484
1467,110,0.272727273,0.363636364,0,0,0.181818182,0.181818182
1468,2130,0.281690141,0.225352113,0.169014085,0.107981221,0.197183099,0.018779343
1469,3650,0.284931507,0.194520548,0.145205479,0.112328767,0.230136986,0.032876712
1473,4100,0.280487805,0.180487805,0.151219512,0.119512195,0.22195122,0.046341463
1474,1060,0.320754717,0.169811321,0.141509434,0.113207547,0.20754717,0.047169811
1475,4690,0.343283582,0.262260128,0.153518124,0.106609808,0.121535181,0.012793177
1501,8720,0.28440367,0.209862385,0.165137615,0.114678899,0.189220183,0.036697248
1503,1610,0.279503106,0.167701863,0.111801242,0.111801242,0.211180124,0.118012422
1504,4720,0.281779661,0.23940678,0.161016949,0.112288136,0.175847458,0.029661017
1505,2370,0.240506329,0.164556962,0.130801688,0.101265823,0.227848101,0.135021097
1506,1620,0.308641975,0.209876543,0.172839506,0.117283951,0.166666667,0.024691358
1507,6320,0.284810127,0.181962025,0.136075949,0.109177215,0.234177215,0.053797468
1510,7670,0.306388527,0.277705346,0.159061278,0.101694915,0.132985658,0.022164276
1515,1120,0.267857143,0.232142857,0.169642857,0.133928571,0.169642857,0.026785714
1516,4500,0.286666667,0.182222222,0.135555556,0.111111111,0.226666667,0.057777778
1518,1520,0.289473684,0.184210526,0.105263158,0.105263158,0.223684211,0.092105263
1519,3520,0.244318182,0.153409091,0.125,0.099431818,0.235795455,0.142045455
1520,7750,0.241290323,0.152258065,0.140645161,0.112258065,0.263225806,0.090322581
1521,1210,0.272727273,0.223140496,0.173553719,0.148760331,0.157024793,0.024793388
1522,1800,0.277777778,0.166666667,0.138888889,0.111111111,0.238888889,0.066666667
1523,3090,0.265372168,0.174757282,0.145631068,0.100323625,0.216828479,0.097087379
1524,3390,0.297935103,0.230088496,0.15339233,0.109144543,0.182890855,0.026548673
1525,230,0.391304348,0.260869565,0.130434783,0.086956522,0.130434783,0
1527,7000,0.281428571,0.228571429,0.157142857,0.115714286,0.18,0.037142857
1529,1590,0.308176101,0.20754717,0.150943396,0.113207547,0.176100629,0.044025157
1531,490,0.265306122,0.204081633,0.163265306,0.12244898,0.244897959,0
1532,7850,0.270063694,0.150318471,0.108280255,0.087898089,0.23566879,0.147770701
