Zip,Slab 1 - Medical Tax Credit,Slab 2 - Medical Tax Credit,Slab 3 - Medical Tax Credit,Slab 4 - Medical Tax Credit,Slab 5 - Medical Tax Credit,Slab 6 - Medical Tax Credit,Total Medical Tax Credit
1001,0.003340757,0.008908686,0.004454343,0.002227171,0,0,0.018930958
1002,0.003161222,0.009483667,0.006322445,0,0,0,0.018967334
1003,0,0,0,0,0,0,
1005,0,0.021097046,0,0,0,0,0.021097046
1007,0,0.009234828,0.006596306,0,0,0,0.015831135
1008,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0
1010,0,0.021276596,0,0,0,0,0.021276596
1011,0.030769231,0,0,0,0,0,0.030769231
1012,0,0,0,0,0,0,0
1013,0.004739336,0.013270142,0.006635071,0,0,0,0.02464455
1020,0.003955175,0.013183916,0.003955175,0.001977587,0,0,0.023071852
1022,0,0,0,0,0,0,0
1026,0.040816327,0,0,0,0,0,0.040816327
1027,0.004065041,0.013211382,0.006097561,0,0,0,0.023373984
1028,0,0.008484848,0.002424242,0.002424242,0,0,0.013333333
1029,0,0,0,0,0,0,0
1030,0,0.01,0.005,0.003333333,0,0,0.018333333
1031,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0
1033,0,0.018575851,0,0,0,0,0.018575851
1034,0,0,0,0,0,0,0
1035,0,0.014388489,0,0,0,0,0.014388489
1036,0,0.014925373,0,0,0,0,0.014925373
1037,0,0,0,0,0,0,0
1038,0.015384615,0,0,0,0,0,0.015384615
1039,0,0,0,0,0,0,0
1040,0.003022975,0.012696493,0.00362757,0.00120919,0,0,0.020556227
1050,0.015503876,0,0,0,0,0,0.015503876
1053,0,0,0,0,0,0,0
1054,0,0,0,0,0,0,0
1056,0.003846154,0.010576923,0.005769231,0,0,0,0.020192308
1057,0,0.011848341,0.007109005,0,0,0,0.018957346
1060,0.006793478,0.014945652,0.005434783,0,0,0,0.027173913
1062,0.005272408,0.008787346,0.008787346,0,0,0,0.0228471
1066,0,0,0,0,0,0,0
