Zip,Slab 1 - Medical Tax Credit V2,Slab 2 - Medical Tax Credit V2,Slab 3 - Medical Tax Credit V2,Slab 4 - Medical Tax Credit V2,Slab 5 - Medical Tax Credit V2,Slab 6 - Medical Tax Credit V2,Total Medical Tax Credit V2
1001,0.011135857,0.0155902,0.005567929,0.003340757,0,0,0.035634744
1002,0.020021075,0.015806112,0.005268704,0.002107482,0,0,0.043203372
1003,0,0,0,0,0,0,
1005,0.012658228,0.025316456,0,0,0,0,0.037974684
1007,0.01055409,0.014511873,0.007915567,0,0,0,0.03298153
1008,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0
1010,0.021276596,0.015957447,0.015957447,0,0,0,0.053191489
1011,0,0.061538462,0,0,0,0,0.061538462
1012,0,0,0,0,0,0,0
1013,0.017061611,0.022748815,0.006635071,0.001895735,0,0,0.048341232
1020,0.015820699,0.022412657,0.005273566,0.002636783,0,0,0.046143705
1022,0.026086957,0,0,0,0,0,0.026086957
1026,0,0.081632653,0,0,0,0,0.081632653
1027,0.020325203,0.022357724,0.005081301,0.00304878,0,0,0.050813008
1028,0.008484848,0.012121212,0.003636364,0.002424242,0,0,0.026666667
1029,0,0,0,0,0,0,0
1030,0.01,0.015,0.006666667,0.005,0,0,0.036666667
1031,0.06,0,0,0,0,0,0.06
1032,0,0,0,0,0,0,0
1033,0.015479876,0.021671827,0,0,0,0,0.037151703
1034,0,0.038461538,0,0,0,0,0.038461538
1035,0.017985612,0.025179856,0,0,0,0,0.043165468
1036,0.01119403,0.01119403,0.007462687,0,0,0,0.029850746
1037,0,0,0,0,0,0,0
1038,0.015384615,0.023076923,0,0,0,0,0.038461538
1039,0.038461538,0.038461538,0,0,0,0,0.076923077
1040,0.017533253,0.024788392,0.004836759,0.00120919,0,0,0.048367594
1050,0.023255814,0.023255814,0,0,0,0,0.046511628
1053,0,0.045454545,0,0,0,0,0.045454545
1054,0,0.052083333,0,0,0,0,0.052083333
1056,0.013461538,0.015384615,0.004807692,0.001923077,0,0,0.035576923
1057,0.011848341,0.014218009,0.009478673,0,0,0,0.035545024
1060,0.027173913,0.025815217,0.008152174,0,0,0,0.061141304
1062,0.019332162,0.017574692,0.010544815,0,0,0,0.04745167
1066,0,0,0,0,0,0,0
1068,0,0.041237113,0,0,0,0,0.041237113
1069,0.012195122,0.019512195,0.007317073,0,0,0,0.03902439
1070,0,0,0,0,0,0,0
1071,0,0.025,0,0,0,0,0.025
1072,0.039473684,0,0,0,0,0,0.039473684
1073,0.012195122,0.018292683,0,0,0,0,0.030487805
1074,0,0,0,0,0,0,0
