,FIPS,STATE,County,N02650,A02650,"Population Estimate, 2013","Population Estimate, 2016",PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13
0,1001,AL,Autauga,34230,1659673,"54,792","55,416",13.0,34.1
1,1003,AL,Baldwin,90660,5118057,"195,147","208,563",10.4,27.4
2,1005,AL,Barbour,11480,446600,"26,938","25,965",18.4,44.4
3,1007,AL,Bibb,23170,1124762,"22,501","22,643",14.8,40.3
4,1009,AL,Blount,63020,3023206,"57,746","57,704",14.1,34.6
5,1011,AL,Bullock,11920,497158,"10,576","10,362",19.6,43.0
6,1013,AL,Butler,11150,435828,"20,330","19,998",17.7,36.3
7,1015,AL,Calhoun,55790,2477429,"116,475","114,611",14.9,32.2
8,1017,AL,Chambers,32770,1288529,"34,123","33,843",16.4,39.7
9,1019,AL,Cherokee,36230,1526329,"26,074","25,725",13.3,33.6
10,1021,AL,Chilton,30650,1371701,"43,769","43,941",13.3,35.9
11,1023,AL,Choctaw,6440,303665,"13,384","12,993",18.1,40.8
12,1025,AL,Clarke,11460,529876,"25,105","24,392",16.3,38.2
13,1027,AL,Clay,20500,798996,"13,464","13,492",14.6,37.3
14,1029,AL,Cleburne,21200,1008142,"15,031","14,924",12.6,30.0
15,1031,AL,Coffee,46410,2179019,"50,729","51,226",15.9,33.7
16,1033,AL,Colbert,34590,1565040,"54,456","54,216",18.7,37.5
17,1035,AL,Conecuh,27230,1166144,"12,866","12,395",17.4,36.4
18,1037,AL,Coosa,26020,1143474,"11,058","10,581",17.3,39.7
19,1039,AL,Covington,18420,828603,"37,890","37,458",14.7,34.0
20,1041,AL,Crenshaw,20390,849865,"13,874","13,913",16.5,39.7
21,1043,AL,Cullman,53660,2521276,"80,731","82,471",14.4,33.4
22,1045,AL,Dale,51410,2541996,"49,753","49,226",14.1,36.5
23,1047,AL,Dallas,17690,644003,"41,950","40,008",19.0,40.8
24,1049,AL,DeKalb,49170,1893009,"70,882","70,900",13.4,30.4
25,1051,AL,Elmore,66450,3387451,"80,661","81,799",13.4,35.4
26,1053,AL,Escambia,19720,845363,"37,877","37,728",17.8,37.7
27,1055,AL,Etowah,63640,2739012,"103,790","102,564",16.8,35.1
28,1057,AL,Fayette,13460,581121,"16,858","16,546",15.1,33.7
29,1059,AL,Franklin,26370,1090567,"31,505","31,628",13.9,33.2
30,1061,AL,Geneva,39630,1894313,"26,754","26,614",13.9,34.1
31,1063,AL,Greene,5030,185462,"8,702","8,422",21.0,46.3
32,1065,AL,Hale,11760,441966,"15,293","14,952",16.0,40.4
33,1067,AL,Henry,24240,1181392,"17,188","17,164",18.7,35.8
34,1069,AL,Houston,53760,2647343,"103,614","104,056",13.7,32.8
35,1071,AL,Jackson,27090,1276501,"52,939","52,138",14.9,32.0
36,1073,AL,Jefferson,351390,22997653,"658,578","659,521",13.0,33.2
37,1075,AL,Lamar,14810,604473,"14,192","13,918",14.9,33.6
38,1077,AL,Lauderdale,40560,2026122,"92,713","92,318",14.2,32.9
39,1079,AL,Lawrence,32740,1681380,"33,570","33,244",15.6,35.5
40,1081,AL,Lee,76350,3690273,"151,411","158,991",9.5,29.0
