FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13
1001,11.4,13.0,31.5,34.1
1003,9.8,10.4,26.2,27.4
1005,13.6,18.4,37.6,44.4
1007,11.1,14.8,32.3,40.3
1009,11.4,14.1,31.9,34.6
1011,14.9,19.6,37.8,43.0
1013,15.1,17.7,36.8,36.3
1015,14.5,14.9,33.5,32.2
1017,16.1,16.4,35.5,39.7
1019,13.6,13.3,31.5,33.6
1021,10.2,13.3,34.8,35.9
1023,14.7,18.1,36.5,40.8
1025,14.1,16.3,36.0,38.2
1027,13.2,14.6,32.2,37.3
1029,11.0,12.6,28.8,30.0
1031,12.1,15.9,32.7,33.7
1033,13.5,18.7,34.7,37.5
1035,14.5,17.4,32.1,36.4
1037,13.2,17.3,33.2,39.7
1039,13.1,14.7,33.8,34.0
1041,12.6,16.5,33.6,39.7
1043,11.9,14.4,30.1,33.4
1045,13.5,14.1,34.4,36.5
1047,15.6,19.0,39.9,40.8
1049,11.2,13.4,31.7,30.4
1051,9.9,13.4,29.0,35.4
1053,12.3,17.8,34.4,37.7
1055,11.6,16.8,30.8,35.1
1057,12.7,15.1,32.3,33.7
1059,12.8,13.9,29.5,33.2
1061,12.6,13.9,32.0,34.1
1063,18.2,21.0,43.7,46.3
1065,15.1,16.0,40.2,40.4
1067,13.5,18.7,33.8,35.8
1069,12.4,13.7,33.2,32.8
1071,11.9,14.9,31.6,32.0
1073,12.0,13.0,31.4,33.2
1075,12.7,14.9,30.8,33.6
1077,12.8,14.2,29.1,32.9
1079,12.9,15.6,32.8,35.5
1081,9.6,9.5,30.1,29.0
1083,10.4,12.6,29.1,32.9
1085,17.1,23.5,40.6,45.1
1087,16.2,18.4,40.0,44.7
1089,13.0,11.5,30.6,32.3
1091,15.9,20.2,37.6,40.3
1093,11.7,18.7,28.6,35.5
1095,11.5,12.8,26.5,33.2
1097,12.2,15.6,30.3,37.1
1099,13.5,17.8,35.4,35.3
1101,12.7,13.5,34.0,34.8
1103,11.0,12.6,34.8,31.6
1105,17.5,21.7,40.7,43.0
1107,14.9,16.4,34.8,36.4
1109,12.9,13.5,35.1,38.4
1111,12.9,14.9,31.9,30.9
1113,13.6,12.9,36.7,36.4
1115,11.4,12.8,33.7,33.0
1117,8.0,8.7,28.4,30.1
1119,17.1,20.1,40.8,40.3
1121,13.6,15.3,34.0,39.0
1123,14.3,13.7,33.9,36.9
1125,11.1,12.3,33.1,34.3
1127,13.3,16.7,33.1,33.2
1129,12.9,17.8,34.9,40.2
1131,17.1,19.3,40.8,44.9
1133,10.0,13.2,29.3,30.2
2013,5.5,7.6,28.4,33.4
2016,5.9,6.2,30.0,39.4
2020,7.0,7.0,26.5,27.0
2050,5.5,5.8,31.9,30.3
2060,6.8,8.5,32.6,39.7
2068,6.0,5.8,29.8,27.0
2070,7.8,7.2,38.5,38.0
2090,5.2,5.5,25.5,28.1
2100,6.6,7.9,29.4,25.5
2105,,7.3,,31.8
2110,5.3,5.9,26.7,28.6
2122,6.3,7.2,29.9,28.4
2130,7.2,8.9,34.0,30.8
2150,6.2,6.6,26.2,30.2
2164,7.2,7.4,34.3,31.9
2170,5.8,8.2,27.9,30.2
2180,7.1,6.0,33.0,31.7
2185,7.1,6.5,37.7,36.5
2188,6.6,6.5,31.3,32.4
2195,,7.1,,30.5
2198,,7.3,,35.2
2220,6.8,6.7,30.5,28.7
2230,,6.4,,28.1
2240,6.3,6.9,31.4,33.1
2261,6.2,7.4,32.9,30.4
2270,6.4,4.6,32.5,32.6
2275,,8.9,,30.6
2282,7.3,7.9,29.2,31.3
2290,6.9,8.3,32.2,28.3
4001,13.6,14.4,31.7,35.2
4003,8.4,10.3,23.3,26.0
4005,7.1,7.6,20.8,23.2
4007,10.9,11.2,25.8,27.5
4009,9.1,10.3,30.1,32.5
4011,8.2,10.7,32.8,34.7
4012,12.0,14.8,28.6,32.0
4013,7.4,9.0,23.1,25.4
4015,11.1,12.8,27.0,29.6
4017,12.9,13.1,27.6,30.9
4019,7.8,8.8,23.5,24.2
4021,8.4,12.3,29.0,31.6
4023,6.3,8.0,21.0,23.0
4025,8.0,10.5,20.1,25.3
4027,10.0,12.6,26.6,30.5
5001,12.6,12.9,34.8,33.8
5003,11.3,14.5,35.7,42.1
5005,11.8,16.0,26.6,32.3
5007,7.8,9.6,28.0,30.1
5009,10.1,12.4,28.2,33.9
5011,12.2,13.1,32.2,39.0
5013,12.6,13.7,32.2,34.2
5015,10.9,13.0,25.5,35.8
5017,14.7,15.2,35.8,43.1
5019,10.1,11.6,31.3,34.3
5021,12.0,11.1,30.8,33.7
5023,11.9,13.5,28.4,31.8
5025,11.8,13.0,31.7,35.7
5027,12.0,12.9,31.8,36.4
5029,10.4,13.7,29.5,39.7
5031,10.1,13.1,31.9,36.4
5033,8.2,11.4,30.1,35.1
5035,13.8,15.8,36.4,38.8
5037,12.3,13.6,31.4,37.9
5039,13.6,14.4,34.0,36.2
5041,13.3,15.1,35.6,39.6
5043,10.6,13.6,31.8,34.3
5045,9.3,11.2,29.4,33.2
5047,10.9,13.8,32.9,37.1
5049,11.4,15.6,28.8,32.9
5051,10.2,14.5,27.1,32.3
5053,9.4,11.1,32.4,38.3
5055,9.6,12.9,30.7,31.2
5057,13.0,13.5,33.4,40.3
5059,10.7,12.2,32.5,34.7
5061,11.8,13.4,32.3,35.7
5063,10.1,13.1,29.0,37.2
5065,9.8,15.5,27.1,33.9
5067,11.4,12.9,31.2,37.2
5069,12.5,15.4,37.4,40.7
5071,9.9,12.5,30.7,36.4
5073,13.5,15.3,32.2,36.3
5075,11.2,13.2,32.1,31.8
5077,12.7,13.1,35.6,35.7
5079,10.4,12.3,33.8,37.5
5081,11.9,12.9,33.1,32.7
5083,9.6,13.8,28.4,37.5
5085,10.9,13.1,32.4,35.8
5087,9.8,11.8,29.1,34.0
5089,11.8,12.2,30.2,31.7
5091,13.8,12.3,36.1,35.9
5093,12.6,15.9,34.7,39.8
5095,13.3,17.2,32.1,37.5
5097,10.9,14.3,27.7,33.8
5099,13.2,13.9,31.3,36.0
5101,12.7,12.8,31.0,34.2
5103,13.4,14.8,33.5,34.8
5105,10.0,12.2,28.9,37.5
5107,13.8,16.7,38.2,45.5
5109,11.0,12.4,29.0,37.8
5111,11.9,13.8,34.1,38.4
5113,10.7,13.9,31.9,36.7
5115,9.6,11.2,31.1,32.1
5117,11.1,14.3,30.3,36.3
5119,10.0,12.0,28.3,31.7
5121,11.4,12.7,30.3,35.3
5123,12.9,16.4,34.8,42.5
5125,9.6,11.8,29.6,32.5
5127,10.9,11.4,31.2,32.5
5129,12.5,13.4,30.1,35.0
5131,10.1,12.9,29.8,36.9
5133,12.1,12.2,32.8,36.7
5135,11.2,15.2,26.7,37.3
5137,11.0,12.7,29.7,32.6
5139,11.1,13.5,29.7,39.4
5141,11.1,12.9,29.2,35.6
5143,7.8,9.1,27.4,30.6
5145,8.8,10.1,29.0,36.3
5147,12.2,14.7,32.3,35.8
5149,11.7,12.9,32.9,37.1
6001,7.6,8.5,19.5,20.0
6003,8.4,10.3,24.6,23.4
6005,9.3,10.2,24.6,25.5
6007,8.3,10.2,24.4,25.9
6009,7.3,10.0,24.4,23.5
6011,7.6,9.6,24.6,25.4
6013,7.0,9.4,24.6,25.0
6015,8.1,8.4,28.5,25.5
6017,7.1,7.5,20.3,20.6
6019,8.5,9.4,28.4,26.6
6021,7.7,8.4,28.5,26.7
6023,9.4,8.8,25.1,25.5
6025,6.7,8.3,26.7,26.3
6027,8.0,9.4,22.7,23.3
6029,7.0,9.3,29.0,30.3
6031,5.7,7.5,29.4,26.4
6033,9.2,10.1,25.8,26.2
6035,6.5,7.6,28.4,23.9
6037,7.8,9.1,20.9,21.4
6039,7.8,7.9,28.7,26.5
6041,6.4,7.9,16.3,18.9
6043,8.3,10.7,23.8,24.4
6045,7.0,8.4,21.0,22.4
6047,7.5,9.2,31.4,29.5
6049,8.2,10.4,22.8,23.2
6051,7.0,7.4,20.7,22.8
6053,7.8,7.6,22.7,22.3
6055,7.3,8.4,22.0,23.7
6057,6.9,7.7,21.3,21.1
6059,7.0,8.0,18.8,19.7
