FIPS,% Diabetic,# HIV Cases,Infant Mortality Rate,Child Mortality Rate,% Food Insecure,% Limited Access,Household Income,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,Chlamydia Rate,Teen Birth Rate,PCP Ratio,Dentist Ratio,MHP Ratio
1001.0,12.1,81.0,8.0,41.162144548,13.5,9.7935303961,51868.0,5.1,3.6,9.0850790936,21.7,31.3,7.2,27.9,73.683824742,16.7,508.0,36.499862524,3084.0,3453.0,7892.0
1003.0,11.5,288.0,6.4,56.160180658,13.5,5.4602606243,47539.0,3.3,3.8,8.6701816052,20.6,25.0,7.6,25.2,73.61808356,17.9,357.5,44.532661526,1325.0,2149.0,1377.0
1005.0,14.8,90.0,13.5,84.086609207,22.7,11.420315716,30981.0,4.8,4.3,11.877875366,25.1,38.4,5.0,32.3,44.145390975,13.5,716.9,72.873799726,2267.0,2708.0,27076.0
1007.0,12.7,21.0,13.9,107.95956424,15.4,2.1446609917,39781.0,4.7,5.1,12.787436904,25.9,37.3,7.6,33.2,39.437049967,11.2,371.7,50.850850851,3766.0,5628.0,
1009.0,13.2,44.0,6.3,49.822064057,11.8,1.0624676536,44392.0,5.9,3.9,7.6907549455,21.3,30.9,8.5,29.8,25.508530756,5.5,160.8,47.239216294,3402.0,5261.0,19291.0
1011.0,17.6,38.0,,127.07825903,24.1,20.151730144,25937.0,4.2,,13.632514818,37.8,43.2,3.8,32.8,23.437786329,,964.3,84.596967279,2619.0,5320.0,10639.0
1013.0,16.1,38.0,,50.748540979,22.1,2.8320291145,31041.0,3.9,3.5,10.803757829,30.5,38.4,6.0,37.3,50.069222323,10.9,738.7,63.341425734,2901.0,4053.0,6755.0
1015.0,13.2,184.0,8.3,77.942322681,17.2,10.043823886,37898.0,5.2,5.1,8.6887991331,24.4,31.5,6.4,33.2,56.768039672,11.6,684.6,49.328449328,1564.0,1914.0,1179.0
1017.0,15.7,92.0,8.7,58.84083554,20.5,8.821524906,33883.0,5.0,4.3,11.880832735,24.1,39.7,5.7,35.3,62.823323104,,871.9,59.728046766,2433.0,4270.0,
1019.0,13.7,26.0,,63.627687134,14.8,0.1326863763,37478.0,6.1,5.2,8.9470480828,24.4,30.3,7.9,29.8,32.879295086,14.9,192.2,51.558517938,3717.0,6551.0,5241.0
1021.0,13.2,35.0,9.9,80.337878162,14.2,1.6886043046,41348.0,4.6,4.9,9.8194410092,20.1,37.0,7.9,31.8,32.58025342,9.3,353.7,58.314675351,5477.0,4883.0,3381.0
1023.0,17.4,30.0,,121.82246406,18.5,11.628068422,33581.0,5.6,4.6,11.111111111,19.9,40.2,5.9,34.8,26.928349809,,550.1,42.292368986,2727.0,2238.0,
1025.0,15.2,25.0,9.7,71.690297913,22.3,11.232512663,34593.0,4.4,3.0,12.620423892,13.7,35.2,5.1,31.0,39.403089072,8.8,890.3,41.890909091,2097.0,3601.0,2801.0
1027.0,14.9,17.0,,,16.9,1.9289483357,33344.0,6.0,5.3,11.385199241,26.2,37.4,7.3,37.6,21.109675567,,454.0,52.881570614,2687.0,6743.0,13486.0
1029.0,12.8,15.0,,71.576837735,13.8,0.5369355548,40407.0,5.9,5.2,8.764940239,18.9,30.4,8.1,34.1,38.49853059,,384.3,57.388809182,4944.0,14994.0,2499.0
1031.0,13.0,58.0,9.8,70.136353322,15.0,7.4254116576,44666.0,3.5,3.6,8.5964163823,17.7,28.5,7.1,29.7,70.79362537,9.8,640.0,44.688836519,2228.0,3184.0,2830.0
1033.0,14.9,51.0,9.1,79.4513674,15.6,5.0898157401,40032.0,4.4,4.8,9.9659477866,29.6,33.9,7.2,31.9,46.534871757,7.4,683.2,52.288659794,1815.0,2478.0,5452.0
1035.0,18.5,31.0,,116.94929413,22.8,14.783095042,27196.0,4.4,5.2,13.703703704,22.9,39.1,4.6,35.4,0.1285152706,,808.9,54.87804878,2596.0,6444.0,3222.0
1037.0,16.2,13.0,,,16.9,6.5244803226,35175.0,4.0,4.6,12.103746398,30.0,37.2,6.8,31.9,26.293439639,,474.2,49.237472767,,,
1039.0,13.8,41.0,8.8,73.346046648,16.0,3.0467534329,35187.0,4.2,5.2,9.4177537385,28.7,32.3,7.3,37.5,56.578842844,10.9,503.2,68.579766537,2109.0,2914.0,2105.0
1041.0,15.9,20.0,,,16.7,15.835373555,34105.0,4.0,3.8,9.0121317158,16.6,37.1,5.9,32.3,35.588954408,,468.7,53.571428571,7042.0,6993.0,4662.0
1043.0,13.4,40.0,6.4,49.863213078,13.7,3.1533742988,40142.0,3.9,4.4,9.1620429649,22.0,34.4,7.8,30.8,38.133970102,10.9,317.0,56.054557552,1788.0,2309.0,1138.0
1045.0,14.5,131.0,6.4,64.871878041,16.7,10.283822567,41805.0,4.9,3.9,8.55377486,21.2,34.4,6.4,30.5,49.443792163,14.4,547.1,48.430579626,5605.0,2934.0,1609.0
1047.0,16.4,129.0,7.1,71.900124191,28.9,11.56345443,27524.0,3.9,3.6,12.774846086,20.6,41.7,3.6,33.2,58.961661342,12.0,1525.8,71.677740864,1299.0,3000.0,2470.0
1049.0,13.6,44.0,7.4,58.828358005,14.1,2.2543408441,36713.0,4.7,4.9,8.5830447222,18.0,32.1,7.8,29.4,42.448916452,10.1,298.3,59.108527132,2451.0,4177.0,6456.0
1051.0,13.3,149.0,7.1,72.444325195,14.1,6.5595762142,51650.0,4.4,4.4,8.9541648929,21.4,30.1,7.4,30.5,67.953293066,10.3,548.2,42.065211647,3360.0,7355.0,10113.0
1053.0,13.4,52.0,9.7,83.604808718,19.6,7.5767133252,33455.0,5.2,4.7,10.932475884,20.9,38.3,6.1,37.4,60.800125264,7.7,552.7,68.429598701,2111.0,2532.0,2922.0
1055.0,14.9,130.0,10.0,71.050184417,15.8,8.6193857882,38587.0,5.2,5.0,8.5222016651,26.0,33.8,6.8,32.2,43.702001341,10.7,705.0,53.748053369,1321.0,2165.0,1118.0
1057.0,17.6,14.0,,79.08264136,15.8,1.3296278874,35661.0,5.6,5.2,9.9616858238,14.1,36.3,7.6,30.6,28.826634186,,494.6,51.849921834,2426.0,3382.0,8455.0
1059.0,12.8,13.0,8.6,79.450835823,14.9,3.6438945765,33332.0,5.0,4.4,8.7795765878,24.5,33.5,7.5,33.4,58.838001514,,358.9,62.482983937,2117.0,4505.0,15766.0
