FIPS,State,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
01001,AL,Autauga,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01003,AL,Baldwin,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01005,AL,Barbour,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01007,AL,Bibb,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01009,AL,Blount,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01011,AL,Bullock,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01013,AL,Butler,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01015,AL,Calhoun,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01017,AL,Chambers,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01019,AL,Cherokee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01021,AL,Chilton,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01023,AL,Choctaw,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01025,AL,Clarke,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01027,AL,Clay,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01029,AL,Cleburne,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01031,AL,Coffee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01033,AL,Colbert,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01035,AL,Conecuh,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01037,AL,Coosa,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01039,AL,Covington,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01041,AL,Crenshaw,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01043,AL,Cullman,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01045,AL,Dale,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01047,AL,Dallas,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
01049,AL,DeKalb,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
