Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Afghanistan,9019450.907028053,9177353.34291311,9341108.436747734,9513224.891873352,9662269.254556585,9751918.587117922,10066621.241427924,10346143.20767317,10589407.352964882,10835947.615600526,11185841.209386732,11595064.926859807,11908514.671916384,12157916.816515774,12369728.123475779,12589326.303026121,12699627.204040166,12812132.683596086,12924074.588541336,13021577.4477184,12991503.038807772,12952460.574243058,12889884.394154415,12790442.724599577,12552957.359956667,12307054.714553632,12104580.388968032,11894933.6217235,11753007.152423285,11745184.331707664,12070712.008997139,12744106.668609973,13668285.431263365,14715081.348215193,15721405.95887018,16582385.379679866,17463323.071390197,18339395.084225677,19171079.344148103,20086445.59048272
Albania,1634274.9004872544,1647205.5788151114,1685647.5257692556,1746957.4654680798,1809790.5869063386,1879858.387189074,1927316.3235952128,1975743.5917237047,2029363.8033959419,2086675.676547314,2137522.390182715,2185329.1379174665,2238491.8528811205,2295441.9207946137,2352080.524646704,2402053.476426862,2459347.4558048826,2512052.353323334,2562696.8033750476,2612041.367936286,2668159.45787686,2721839.8225113386,2778281.5431065606,2834736.612643795,2902150.8213369893,2970774.544514915,3035667.6763734715,3102782.7547870474,3165978.8939406974,3221677.270227492,3252504.2230879813,3258711.537081549,3246116.817898469,3223906.2130953874,3205119.4542481117,3197616.833300434,3178641.7207891364,3155147.3135308567,3131920.7797146747,3096914.586747949
Algeria,11257220.37218281,11428757.439177645,11649907.491083339,11917177.161529053,12209993.43524751,12548870.958304845,12930668.131488234,13342974.279721398,13784375.540767852,14228982.861725528,14622265.699057937,14977738.912397403,15362964.414130334,15775448.173191909,16216400.831257455,16672103.424429324,17171904.739182636,17690774.644329116,18225950.268801436,18772137.77139966,19368106.597527634,19973879.522759568,20603929.56916642,21256367.417726208,21930050.525533963,22607252.488602955,23283034.351232965,23973208.535272736,24661604.349498414,25337229.34433298,25957259.92421381,26510918.876347963,27038697.488024414,27577987.011947718,28143187.970418323,28722645.48662159,29314733.730424125,29896870.03535402,30487561.219575457,31075151.006013386
American Samoa,21842.687920034794,20952.112891048004,21219.06019771226,21812.1332779648,22398.26049702314,23018.523070710304,23854.030544777408,24673.530981620133,25821.956764555376,26137.206733992098,26901.251788073692,27552.68185956589,28048.65326818182,28803.2929014592,28964.71571069143,29264.53672113979,30042.224703915403,30710.76773596397,31472.658493343653,32334.987837883746,33270.14835418136,34301.38738242957,35487.20907155859,36716.75712168226,37975.893841509,39299.24708131217,40703.56961588662,42246.61371324534,43824.64605908177,45332.19875558496,46770.45323043532,48083.00955431902,49287.75195581038,50412.52807934405,51482.021890283664,52562.92234386646,53774.884803183115,55037.30300942849,56282.121780171794,57537.058457029074
Andorra,15053.457575520286,14322.318335033775,14782.82672233176,15837.78597335075,16874.508897303258,17967.215160455336,19327.17792637049,20648.70245842774,22222.14649470981,23276.58191254695,24650.12362397593,25951.471145306812,27078.364597613963,28351.45871550806,29193.146297546147,30082.668805937254,31272.484737146784,32371.641288538565,33571.16735628365,34887.360444006605,36279.12817667656,37794.25417661994,39522.696308073915,41311.28698758397,43105.75634308538,44981.97929633706,46983.535748666465,49138.669380389474,51298.84575539886,53309.963798047924,55141.45164739173,56719.03505549304,58055.77997678994,59242.65501982286,60388.89134090913,61580.57553737254,62918.61583522419,64337.207983366374,65748.39868169784,67117.66448313878
Angola,5544464.072287108,5779366.2646855265,5933447.303028262,6013993.716895321,6105798.300868611,6198598.548088573,6293664.580401962,6403786.667923152,6517888.593669249,6634081.529594826,6760416.480879736,6900302.034121471,7070023.133334537,7259144.4515114175,7465492.691112903,7691360.796813822,7925110.7533525,8171991.914994096,8425400.70701166,8689977.308416914,8975069.606886562,9276421.670108752,9579754.255200988,9897741.75849368,10226150.164755922,10554016.176375773,10877580.467592604,11195964.231024522,11518984.560466703,11854604.050028402,12208703.629814263,12582624.206858829,12979784.120499644,13393444.630617514,13811427.306598507,14228013.80089534,14656695.134709254,15089182.545190271,15528044.658959597,15982497.175931279
Antigua and Barbuda,55310.89391961711,56139.289083360505,57234.35279501816,58575.56319834624,59863.15177261671,61053.25713404959,62230.019539349494,63303.24142281625,64317.11092709479,65373.80169627299,66652.35972023795,68068.3307278181,69262.03537089849,70291.89019754772,71167.91735781844,71936.23301770275,72513.85132818481,72987.41763202305,73351.98988510088,73548.2639408279,73331.85477277481,72901.96290541468,72290.06859763838,71459.99262901372,70426.76717264834,69369.42359506415,68308.0590745318,67214.89903867377,66306.17178645641,65840.44619395069,66156.14863103947,67377.90934797288,69240.11290143586,71380.10439317134,73432.82184530595,75202.65169139115,76597.74073049413,77790.01599650466,78796.91888475996,79827.9591450548
Argentina,20710525.16646972,20968808.954918854,21261213.540187415,21583514.709247164,21909905.734008253,22241180.59597506,22581172.17077864,22922290.62262957,23271063.76893303,23632819.55805227,24008366.199570045,24398473.97749511,24797995.905584052,25206041.107758675,25617987.635560255,26029366.45481663,26440261.47726152,26851622.370055653,27268218.59742378,27693365.407906715,28127855.68547708,28573886.4225026,29033051.777036887,29497691.328197535,29960926.742554452,30422666.357781623,30883232.149047736,31343314.726281032,31801171.520112287,32256255.60185359,32709371.987922724,33159061.51425599,33604443.42596021,34048492.9978859,34494295.466762304,34942186.40543094,35392704.18681376,35845014.16715829,36296295.89211797,36742825.69021474
Armenia,1918808.5469984403,1930635.6020287164,1978850.5192165393,2060134.063482115,2140893.599687428,2226970.098654682,2286315.24898367,2343927.623643346,2405232.021623333,2470260.288229022,2531764.611884564,2590692.2954167696,2647126.4757661493,2703774.8831921956,2759887.9770639706,2812032.1641238593,2875063.384568789,2936650.286840994,2998261.4092799015,3056834.7652719114,3112749.737237042,3159947.7074995786,3205261.8651789287,3244549.194858171,3291705.2679817127,3340442.275775561,3386633.6040309314,3434574.3179498333,3476907.84303156,3508476.766021734,3513259.4505417133,3491957.713431498,3446461.108973395,3385193.257709128,3324715.5519841583,3277149.0692562787,3216150.145767994,3152388.7610296346,3087684.3353912253,3007235.1603935715
Aruba,54440.080062396766,56103.43539478636,56984.70599474039,57164.45931284732,57328.27140417669,57270.6832289919,57558.41846611764,57827.11710001057,57944.83794661524,57984.69904868494,58317.722394674085,58824.60412576006,59167.55448244157,59393.15290947529,59619.41846422697,60052.98426765049,60323.58608557811,60734.6465533555,61189.21650448904,61641.9294493738,61791.97016943293,61927.17289957142,61890.10666070008,61810.48635758861,61537.161067283974,61327.85842351912,61279.52829770601,61223.07393508416,61394.95801280436,61970.27626995096,63461.29147241407,65932.86189592062,69116.3210024217,72594.54391154877,75908.0839330203,78840.12453382669,81799.1596100324,84742.54513276022,87596.78774600872,90759.16547201198
Australia,10370089.412621425,10483195.760034097,10662461.755898643,10899673.34757744,11133166.5773607,11366585.888006726,11610723.382113496,11844785.066916639,12081400.512831496,12329226.734042484,12587615.119538818,12857477.5166029,13124993.93265755,13387765.264873123,13634245.27189821,13854103.432169577,14047212.372676156,14218047.286830315,14381998.560450677,14551722.390431657,14731884.24434479,14930754.676600076,15153638.01906293,15384650.148864567,15610304.904300306,15834005.871199004,16058093.91054833,16284581.700420005,16510770.496415215,16736620.435260277,16965702.450131603,17196596.911233317,17425457.763195846,17653551.993378043,17880957.222309284,18103928.33979126,18322165.47649856,18537037.155045666,18746386.28089979,18948899.41496908
Austria,7045073.255035357,7074659.5936911525,7119399.675754355,7175726.924710288,7226065.020626083,7278684.813187587,7332991.525916399,7368392.587013558,7403254.439384906,7455741.25020695,7488363.3906101305,7515043.9210737925,7552824.383161489,7580579.823664382,7592207.40618474,7580773.2292166995,7562978.935850778,7552284.899545647,7547752.649809793,7550255.515796645,7560188.830481705,7569601.113057649,7570270.55306651,7563841.290830974,7552862.469595751,7548928.005277753,7559741.591381903,7577290.491267733,7607255.824949738,7656369.306942316,7712276.304903737,7764228.714558004,7818390.891198181,7867333.458138775,7900390.612125588,7929916.905957701,7958232.24940265,7979302.304540832,7992909.937556894,8008376.904324864
Azerbaijan,3934973.157852416,4045899.1734132357,4168322.5356976986,4301444.394770192,4434727.435336374,4566171.647111427,4700215.7739378875,4832476.684502151,4960279.8809740385,5081663.835050404,5199510.123093534,5308966.542728123,5399839.822986106,5480550.017295713,5560391.153638078,5647632.83097053,5740896.95128862,5841991.330376154,5950328.637070575,6062425.000846959,6168215.360086434,6274191.798606617,6380776.187719543,6484955.256203782,6584902.418302456,6684722.412528041,6785761.773187958,6885093.431136142,6982798.139542792,7078311.260799485,7177383.492489698,7280170.457696828,7380433.68374819,7475434.399294764,7566650.399046309,7657370.804736856,7748338.061690267,7841902.359033026,7932992.237202693,8020363.1380079035
"Bahamas, The",110144.39222868864,115253.3404151175,120947.39518701314,127200.62444142293,133476.13934275397,139686.0603388807,146076.2667497032,152402.13114405738,158488.26012952393,164180.32643330444,169591.65343327628,174452.82575007388,178250.07673048088,181465.57044640952,184644.47724978864,188260.81960019754,192260.96876981313,196725.99438895466,201605.00874911383,206681.96414172836,211408.50707243587,216116.3906884087,220841.96240508062,225443.9093352249,229851.80057962233,234298.96862382768,238862.1149887225,243381.2559237348,247847.07692613517,252210.89024229016,256758.00585156668,261492.86689428746,266093.8976785946,270419.7630178565,274549.9269418004,278656.6500232551,282776.0154859265,287029.4996636443,291158.5303149451,295105.671672341
Bahrain,154121.13794434833,165555.6749803272,173257.0004105615,177836.04026231234,183287.01364065713,188092.43518486113,192047.87092641968,198304.3119927444,204455.95188920636,208705.86735589505,216306.4150991061,225415.1488751892,233246.97530007706,242314.44476886635,253650.24348533846,268628.019954872,284791.85090369725,300997.9673179959,317106.2626633959,332943.4390273926,347706.24770430574,362862.7041335544,378802.9317891788,395585.434028055,412989.8368067026,429696.4217342359,444777.77415082656,458797.0525356682,471498.52199434914,482371.7777421708,493535.9722442752,506383.49295612454,519527.6269086056,533123.8387674415,548193.35677181,563739.5820908442,579545.131461346,596598.993511324,614514.1032116688,632342.1274742519
Bangladesh,48591741.73037867,49036950.24655485,50831778.60920273,52577004.29786971,54330262.29147376,56053538.137378976,57892526.98501247,59717532.32819718,62044347.26167679,62877656.95164667,64496558.6773618,65963394.6151551,67321466.07019617,69194504.14998221,70090618.98187734,71277635.94934806,73287959.99664383,75109278.92605653,77024150.07592739,79064179.80000944,81245884.9542775,83564071.37131342,86013954.98517124,88501911.94643225,91027517.50732343,93519994.01920353,95941326.78246398,98418246.1811556,100912307.67467213,103396306.03548132,105936605.6062313,108493309.201014,111095717.79010656,113689645.13344596,116187482.22114654,118653481.21519406,121270020.74783573,123908806.90895115,126500814.44557951,129150393.19105078
Barbados,231108.92134942324,232340.98763937142,232936.13476751433,233639.10909225786,234340.4241015771,235046.176901744,235669.2391190386,236279.4021692062,236650.11279845436,237954.8413852688,238980.34485116467,240266.61490316846,241755.56582038582,243044.43453651894,244865.30152088168,246452.59224879363,247488.95121333105,248554.83201585573,249541.53237380518,250495.8258132996,251449.77445388158,252423.69384036303,253405.428191616,254406.09347391434,255374.4616354146,256323.05301293833,257265.1781897667,258142.52104604946,258988.02293507187,259838.59869997192,260676.48731126124,261524.8050172475,262358.6065165836,263207.3001772245,264115.8284609525,265042.6735273578,265888.5188000733,266724.82731096726,267580.53160531796,268387.2511729662
