Id,quality
0,6
1,6
2,5
3,6
4,6
5,7
6,5
7,5
8,5
9,6
10,6
11,6
12,6
13,6
14,5
15,5
16,5
17,7
18,6
19,6
20,6
21,7
22,6
23,7
24,5
25,6
26,6
27,6
28,6
29,6
30,7
31,5
32,7
33,5
34,7
35,5
36,5
37,6
38,7
39,7
40,6
41,5
42,6
43,6
44,7
45,7
46,6
47,6
48,7
49,5
50,5
51,5
52,5
53,7
54,4
55,7
56,6
57,6
58,5
59,5
60,6
61,6
62,6
63,7
64,7
65,5
66,6
67,6
68,6
69,6
70,6
71,7
72,6
73,6
74,6
75,6
76,6
77,5
78,6
79,6
80,5
81,6
82,6
83,6
84,7
85,5
86,7
87,6
88,5
89,7
90,6
91,7
92,6
93,5
94,5
95,6
96,6
97,6
98,7
99,5
100,8
101,5
102,6
103,6
104,6
105,7
106,6
107,7
108,6
109,6
110,7
111,5
112,6
113,6
114,6
115,6
116,7
117,6
118,4
119,7
120,6
121,8
122,7
123,6
124,6
125,5
126,6
127,7
128,5
129,6
130,6
131,6
132,5
133,6
134,5
135,6
136,6
137,5
138,6
139,5
140,4
141,6
142,6
143,5
144,8
145,6
146,5
147,6
148,8
149,6
150,7
151,5
152,5
153,7
154,6
155,6
156,7
157,6
158,5
159,6
160,6
161,6
162,5
163,6
164,5
165,5
166,7
167,6
168,5
169,6
170,6
171,6
172,5
173,6
174,6
175,7
176,6
177,7
178,6
179,6
180,7
181,5
182,6
183,5
184,6
185,6
186,7
187,5
188,6
189,5
190,7
191,5
192,6
193,5
194,6
195,5
196,6
197,5
198,6
199,6
200,5
201,6
202,5
203,6
204,7
205,6
206,5
207,6
208,5
209,6
210,5
211,6
212,6
213,6
214,6
215,6
216,5
217,5
218,8
219,8
220,5
221,6
222,6
223,4
224,6
225,7
226,5
227,5
228,6
229,6
230,7
231,5
232,5
233,5
234,7
235,6
236,7
237,6
238,6
239,6
240,6
241,4
242,6
243,5
244,5
245,6
246,6
247,6
248,6
249,6
250,5
251,6
252,7
253,8
254,6
255,6
256,6
257,5
258,7
259,5
260,6
261,6
262,6
263,6
264,5
265,7
266,6
267,7
268,6
269,7
270,7
271,6
272,6
273,6
274,5
275,6
276,6
277,7
278,6
279,7
280,7
281,5
282,7
283,5
284,6
285,6
286,6
287,7
288,6
289,6
290,5
291,7
292,6
293,6
294,7
295,6
296,6
297,3
298,7
299,5
300,6
301,7
302,6
303,6
304,5
305,5
306,5
307,6
308,7
309,6
310,6
311,6
312,7
313,6
314,7
315,5
316,5
317,6
318,7
319,6
320,6
321,7
322,6
323,6
324,6
325,7
326,6
327,5
328,6
329,6
330,6
331,5
332,6
333,7
334,6
335,6
336,6
337,5
338,5
339,6
340,6
341,7
342,6
343,6
344,3
345,5
346,6
347,6
348,6
349,6
350,5
351,5
352,6
353,5
354,6
355,6
356,6
357,5
358,5
359,6
360,6
361,6
362,6
363,6
364,4
365,4
366,7
367,6
368,6
369,7
370,5
371,6
372,6
373,7
374,6
375,7
376,6
377,6
378,5
379,6
380,5
381,6
382,6
383,6
384,5
385,5
386,6
387,7
388,7
389,6
390,7
391,6
392,6
393,7
394,6
395,6
396,6
397,7
398,6
399,7
400,4
401,6
402,7
403,6
404,7
405,6
406,5
407,5
408,5
409,5
410,6
411,6
412,5
413,5
414,7
415,5
416,5
417,5
418,6
419,7
420,6
421,7
422,6
423,6
424,5
425,6
426,6
427,7
428,6
429,5
430,7
431,5
432,6
433,7
434,6
435,6
436,5
437,5
438,7
439,5
440,6
441,4
442,5
443,6
444,6
445,6
446,5
447,6
448,6
449,6
450,5
451,7
452,5
453,6
454,6
455,5
456,6
457,7
458,7
459,5
460,5
461,6
462,7
463,7
464,6
465,6
466,5
467,5
468,6
469,6
470,5
471,5
472,6
473,6
474,6
475,6
476,5
477,7
478,6
479,5
480,6
481,6
482,5
483,7
484,5
485,6
486,6
487,7
488,6
489,5
490,6
491,6
492,6
493,6
494,5
495,6
496,5
497,6
498,5
499,6
500,7
501,6
502,6
503,6
504,6
505,6
506,7
507,5
508,5
509,7
510,6
511,6
512,7
513,5
514,5
515,5
516,5
517,5
518,6
519,6
520,5
521,6
522,5
523,6
524,5
525,6
526,7
527,6
528,5
529,6
530,5
531,6
532,6
533,6
534,6
535,5
536,5
537,6
538,6
539,5
540,6
541,6
542,5
543,7
544,5
545,6
546,6
547,4
548,5
549,5
550,6
551,5
552,6
553,6
554,6
555,6
556,5
557,7
558,8
559,6
560,6
561,6
562,5
563,6
564,6
565,6
566,6
567,7
568,5
569,6
570,6
571,6
572,6
573,7
574,7
575,6
576,8
577,4
578,6
579,6
580,6
581,5
582,6
583,6
584,5
585,6
586,7
587,6
588,5
589,5
590,6
591,6
592,6
593,6
594,6
595,5
596,6
597,6
598,6
599,6
600,6
601,5
602,5
603,6
604,6
605,6
606,8
607,5
608,6
609,6
610,7
611,5
612,6
613,7
614,6
615,6
616,5
617,6
618,6
619,6
620,5
621,6
622,5
623,6
624,7
625,6
626,6
627,6
628,5
629,7
630,7
631,6
632,5
633,6
634,5
635,7
636,6
637,6
638,6
639,6
640,6
641,5
642,6
643,6
644,5
645,6
646,6
647,6
648,5
649,5
650,7
651,7
652,6
653,6
654,4
655,6
656,6
657,5
658,6
659,5
660,6
661,6
662,5
663,5
664,6
665,7
666,6
667,7
668,6
669,6
670,5
671,6
672,6
673,6
674,7
675,5
676,5
677,6
678,7
679,6
680,5
681,7
